,User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout
0,8041,21,Male,162,84,Cycling,103,422,114,13452,6.65,Medium,5.2,1.9,3606,65,38.4,28.5,Tired,Fatigued
1,4876,54,Female,188,105,Running,100,577,112,2743,4.95,High,9.4,1.9,2669,58,38.4,28.5,Tired,Neutral
2,6073,35,Male,156,90,Running,92,115,103,2877,12.79,Low,9.1,1.9,1812,64,38.4,28.5,Tired,Neutral
3,3339,54,Male,189,87,Yoga,10,678,164,4004,10.65,Low,9.2,1.9,3014,58,38.4,28.5,Stressed,Energized
4,3629,48,Female,178,111,Running,72,757,89,4847,2.4,High,6.3,1.9,3765,88,38.4,28.5,Stressed,Neutral
5,5501,55,Male,191,81,Cardio,100,338,97,3184,6.48,High,6.9,1.9,3114,83,38.4,28.5,Neutral,Energized
6,3104,40,Male,193,104,Cardio,40,738,114,16153,7.53,Medium,9.3,1.9,3677,50,38.4,28.5,Neutral,Energized
7,4435,58,Male,170,73,Strength,42,805,95,13543,12.26,Low,9.1,1.9,1613,61,38.4,28.5,Neutral,Fatigued
8,289,32,Female,173,52,Yoga,78,574,93,12354,13.83,Low,8.6,1.9,1790,75,38.4,28.5,Happy,Neutral
9,1623,28,Female,163,52,Running,54,389,173,7538,10.73,High,7.3,1.9,1828,74,38.4,28.5,Neutral,Energized
10,3915,36,Male,169,81,Strength,33,128,145,16313,3.36,High,6.9,1.9,3062,50,38.4,28.5,Stressed,Energized
11,6171,50,Male,181,53,Yoga,41,885,90,14397,10.51,High,4.8,1.9,3662,76,38.4,28.5,Tired,Neutral
12,7578,27,Female,173,91,Cardio,107,476,157,3048,0.9,Low,6.0,1.9,3240,86,38.4,28.5,Happy,Energized
13,5829,43,Male,150,104,Cardio,42,560,153,8086,3.65,Low,8.0,1.9,1672,66,38.4,28.5,Happy,Energized
14,1860,49,Female,191,72,Strength,107,475,179,14635,7.63,Low,7.3,1.9,3115,67,38.4,28.5,Happy,Neutral
15,8419,47,Male,160,80,Yoga,111,353,86,8786,9.34,Medium,4.7,1.9,3291,87,38.4,28.5,Happy,Energized
